ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202606;CORINTO;MG;CENTRO;CORINTO;INTERIOR;Feminino;19 - 23 ANOS;17
202601;SENADOR JOSE BENTO;MG;SUL;POUSO ALEGRE;INTERIOR;Feminino;54 - 58 ANOS;1
202603;POCO FUNDO;MG;SUL;ALFENAS;INTERIOR;Masculino;44 - 48 ANOS;8
202606;NAZARENO;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Masculino;59+ ANOS;53
202601;CORINTO;MG;CENTRO;CORINTO;INTERIOR;Feminino;00 - 18 ANOS;40
202608;SAO FRANCISCO DO GLORIA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;39 - 43 ANOS;13
202604;OURO VERDE DE MINAS;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Masculino;39 - 43 ANOS;4
202601;SANTO ANTONIO DO AVENTUREIRO;MG;SUDESTE;CATAGUASES;INTERIOR;Feminino;49 - 53 ANOS;4
202605;CORREGO DANTA;MG;OESTE;FORMIGA;INTERIOR;Masculino;44 - 48 ANOS;1
202606;PRESIDENTE BERNARDES;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;49 - 53 ANOS;4
202607;OURO FINO;MG;SUL;OURO FINO;INTERIOR;Feminino;29 - 33 ANOS;49
202605;SENADOR FIRMINO;MG;SUDESTE;UBA;INTERIOR;Masculino;44 - 48 ANOS;5
202608;PAI PEDRO;MG;NORTE;JANAUBA;INTERIOR;Feminino;29 - 33 ANOS;8
202605;FREI LAGONEGRO;MG;LESTE;PECANHA;INTERIOR;Masculino;59+ ANOS;13
202602;CONEGO MARINHO;MG;NORTE;JANUARIA;INTERIOR;Feminino;44 - 48 ANOS;28
202607;SENADOR MODESTINO GONCALVES;MG;NORDESTE;DIAMANTINA;INTERIOR;Feminino;39 - 43 ANOS;2
202602;MARLIERIA;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Masculino;49 - 53 ANOS;5
202602;MATIAS CARDOSO;MG;NORTE;MANGA;INTERIOR;Masculino;24 - 28 ANOS;7
202601;VIRGINOPOLIS;MG;CENTRO;GUANHAES;INTERIOR;Feminino;19 - 23 ANOS;11
202608;LUISLANDIA;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Masculino;59+ ANOS;16
202602;FREI GASPAR;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Masculino;59+ ANOS;17
202608;NOVA ERA;MG;CENTRO;JOAO MONLEVADE;INTERIOR;Feminino;19 - 23 ANOS;15
202606;CHAPADA GAUCHA;MG;NOROESTE;ARINOS;INTERIOR;Feminino;24 - 28 ANOS;7
202605;POTE;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Feminino;19 - 23 ANOS;21
202602;LIMA DUARTE;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;44 - 48 ANOS;16
202602;SANTA BARBARA;MG;CENTRO;ITABIRA;INTERIOR;Feminino;49 - 53 ANOS;31
